run,package,name,workers,chunksize,frequency,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,cache_hits,cache_misses
2,pyfive,load,100,4,3hr,496.66696095466614,36859454837,14528497342,11070635,6134114,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,day,0.5472202301025391,21526149,21202546,3903,2688,0,0,0,0,,
0,kerchunk,locate,100,4,day,0.004276752471923828,300,66,4,1,0,0,0,0,,
0,kerchunk,load,100,4,day,434.636465549469,25893880896,12023173008,4609752,2647320,0,0,0,0,,
0,kerchunk,open,101,4,day,2.7354395389556885,143738397,98166669,21722,16034,0,0,0,0,,
0,kerchunk,locate,101,4,day,0.0022084712982177734,83670,95812,25,16,0,0,0,0,,
0,kerchunk,load,101,4,day,12685.815918207169,405525281818,392142685431,75854801,51352211,0,0,0,0,,
0,pyfive,open,100,4,day,1.1910550594329834,33331070,32136811,6104,4375,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,day,7.441032409667969,189457822,188763664,35178,25626,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,day,285.45825457572937,21873736219,7920386112,6678148,3470633,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,day,0.2824535369873047,12724635,12237720,2424,1643,0,0,0,0,,
1,kerchunk,locate,100,4,day,0.004889011383056641,100330,550,35,5,0,0,0,0,,
1,kerchunk,load,100,4,day,418.4124345779419,26805374940,12936843994,4715055,2713411,0,0,0,0,,
1,kerchunk,open,101,4,day,2.6290178298950195,139468191,93777687,21162,14757,0,0,0,0,,
1,kerchunk,locate,101,4,day,0.0030088424682617188,66,115112,1,4,0,0,0,0,,
1,kerchunk,load,101,4,day,12796.333724975586,392182181130,378822619407,73379633,49658730,0,0,0,0,,
1,pyfive,open,100,4,day,1.3597619533538818,30417822,29567845,5520,3958,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,day,7.639315605163574,212629177,211752342,38864,28709,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,day,272.0577733516693,21303449921,7344647784,6573027,3279624,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,day,0.5750763416290283,21871315,21187138,3986,2822,0,0,0,0,,
2,kerchunk,locate,100,4,day,0.0040094852447509766,0,0,0,0,0,0,0,0,,
